from,to,value,value.1,type,p.value,fdr.p.value
180,182,0.842105263157895,0.842105263157895,CID,NA,NA
57,183,0.862745098039216,0.862745098039216,CID,NA,NA
77,183,0.882352941176471,0.882352941176471,CID,NA,NA
74,184,0.878048780487805,0.878048780487805,CID,NA,NA
86,184,0.925,0.925,CID,NA,NA
108,184,0.868421052631579,0.868421052631579,CID,NA,NA
171,184,0.868421052631579,0.868421052631579,CID,NA,NA
178,184,0.829268292682927,0.829268292682927,CID,NA,NA
180,184,0.868421052631579,0.868421052631579,CID,NA,NA
182,184,0.875,0.875,CID,NA,NA
176,185,0.80952380952381,0.80952380952381,CID,NA,NA
176,186,0.80952380952381,0.80952380952381,CID,NA,NA
185,186,1,1,CID,NA,NA
58,187,0.80952380952381,0.80952380952381,CID,NA,NA
79,187,0.80952380952381,0.80952380952381,CID,NA,NA
94,187,0.80952380952381,0.80952380952381,CID,NA,NA
185,187,0.80952380952381,0.80952380952381,CID,NA,NA
186,187,0.80952380952381,0.80952380952381,CID,NA,NA
29,188,0.868421052631579,0.868421052631579,CID,NA,NA
38,188,0.863636363636364,0.863636363636364,CID,NA,NA
90,188,0.80952380952381,0.80952380952381,CID,NA,NA
118,188,0.883720930232558,0.883720930232558,CID,NA,NA
151,188,0.813953488372093,0.813953488372093,CID,NA,NA
