id,ID,name,KEGG,CID,mean_diabetic..,mean_non.diabetic..,sd_diabetic..,sd_non.diabetic..,diabetic..__mean_and_sd,non.diabetic..__mean_and_sd,FC_non.diabetic.._diabetic..,class_p.values,class_FDR.p.values,post.hoc_non.diabetic.._diabetic..,kruskal_selected,PC1,PC2,rf_importance,rfe_selected,FC_non.diabetic.._diabetic.._mag,FC_non.diabetic.._diabetic.._dir,FC_non.diabetic.._diabetic.._sig,class_FDR.p.values_sig,FC_non.diabetic.._diabetic.._dir_class_FDR.p.values_sig
186,var186,1-monopalmitin,,14900,391.39130434782606,349.2830188679245,181.01048164789563,131.26754496044308,391 +/- 180,349 +/- 130,0.89,0.29558307868892886,0.3754703972535042,0.29561278956768,FALSE,0.02917359690833513,0.014618725869360378,NA,FALSE,0.16812275880832692,-1,FALSE,FALSE,-1_FALSE
187,var187,1-monoolein,C01885,5283468,6285.391304347826,6829.377358490566,3745.062868013766,4008.045179704743,6290 +/- 3700,6830 +/- 4000,1.09,0.6964695627646529,0.7657092268991504,0.6964715343676338,FALSE,-0.018446424110286404,0.013855232432646724,NA,FALSE,0.12432813500220177,1,FALSE,FALSE,1_FALSE
188,var188,"1,5-anhydroglucitol",C07326,64960,13482.695652173914,64420.301886792455,26441.823290927132,25100.696297869526,13500 +/- 26000,64400 +/- 25000,4.78,5.9049182994125314e-8,1.3876558003619448e-6,5.9049196421412375e-8,TRUE,-0.1353344765161822,0.013246780284464658,2.909840600071214,TRUE,2.257010618206024,1,FALSE,TRUE,1_TRUE
19,var19,thymidine,C00214,5789,838.0869565217391,1023.0566037735849,629.2902866103484,469.57752759976216,838 +/- 630,1020 +/- 470,1.22,0.017843028555308848,0.036862520531846854,0.0178461532927654,TRUE,-0.013826385202864075,-8.995312739437776e-4,0.04449820384294069,FALSE,0.28688114778816154,1,FALSE,TRUE,1_TRUE
2,var2,xylitol,C00379,6912,6672.086956521739,3617.698113207547,5713.770351393071,4313.051385419098,6670 +/- 5700,3620 +/- 4300,0.54,0.012585257360836216,0.026886686179968276,0.01370502003721652,TRUE,0.09576944149886542,0.05108648404889212,0.01394712825933757,FALSE,0.888968687611256,-1,FALSE,TRUE,-1_TRUE
20,var20,threonine,C00188,6288,21377.304347826088,18425.43396226415,19383.54974159739,9112.995172806448,21400 +/- 19000,18400 +/- 9100,0.86,0.9224932391113052,0.9283724580148938,0.9234343066424271,FALSE,-0.014837929053858343,-0.033942384698624324,NA,FALSE,0.21759143507262677,-1,FALSE,FALSE,-1_FALSE
21,var21,threonic acid,,,18245.521739130436,23196.11320754717,9933.604110518292,6238.482778012052,18200 +/- 9900,23200 +/- 6200,1.27,0.00885644246043925,0.020555693611883693,0.008856442460454694,TRUE,-0.09132947042939325,0.020597427505203946,0.06381990135322287,FALSE,0.34482849699744117,1,FALSE,TRUE,1_TRUE
22,var22,threitol,,169019,675.6086956521739,671.3207547169811,266.6234558205183,385.8657983919412,676 +/- 270,671 +/- 390,0.99,0.4027393367910483,0.4884838407530134,0.4027554149601045,FALSE,0.031194989279584286,0.013407432689778547,NA,FALSE,0.014499569695115089,-1,FALSE,FALSE,-1_FALSE
23,var23,taurine,C00245,1123,25409.91304347826,50291.54716981132,24885.64832646436,36300.151015031304,25400 +/- 25000,50300 +/- 36000,1.98,0.0018391378173548678,0.005319352456349464,0.0018391378173548967,TRUE,-0.041878447546371225,0.13033383353488523,0.034103267973856204,FALSE,0.9855004303048849,1,FALSE,TRUE,1_TRUE
24,var24,tagatose,D09007,92092,1134.391304347826,472.4339622641509,936.7787523369857,509.10726954278135,1130 +/- 940,472 +/- 510,0.42,1.4870327719574715e-5,1.2582785528823936e-4,1.4874326534908278e-5,TRUE,0.10141621475819747,-0.011641633882155973,0.09463494673767184,FALSE,1.2515387669959646,-1,FALSE,TRUE,-1_TRUE
25,var25,sulfuric acid,C00059,1118,9369.695652173914,9567.037735849057,7903.942286978652,7418.251271130249,9370 +/- 7900,9570 +/- 7400,1.02,0.9909785326055587,0.9909785326055587,0.990978594267607,FALSE,-0.021423727016601737,-0.09409384927170573,NA,FALSE,0.02856915219677092,1,FALSE,FALSE,1_FALSE
26,var26,sucrose,C00089,5988,442.5652173913044,469.8301886792453,496.43692505026223,592.4126269835739,443 +/- 500,470 +/- 590,1.06,0.8519986610823002,0.8892573965764131,0.8520026609225153,FALSE,0.0025501842646584246,0.03906795119321718,NA,FALSE,0.08406426478847455,1,FALSE,FALSE,1_FALSE
27,var27,succinic acid,C00042,1110,35425.434782608696,13313.150943396226,68806.4316548613,34147.28037509341,35400 +/- 69000,13300 +/- 34000,0.38,0.13705262061662685,0.19668620363302172,0.1370526206166256,FALSE,0.0786314531600603,0.1274351919265406,NA,FALSE,1.3959286763311392,-1,FALSE,FALSE,-1_FALSE
28,var28,stearic acid,C01530,5281,211393.1739130435,225719.83018867925,93653.50485585984,108407.52480193498,211000 +/- 94000,226000 +/- 110000,1.07,0.7817655488951025,0.8350677454106776,0.7817655488950856,FALSE,-0.040510989975525484,-0.15304447651049027,NA,FALSE,0.09761079662642233,1,FALSE,FALSE,1_FALSE
29,var29,sorbitol,C00794,5780,15924.260869565218,8463.283018867925,11020.633248665026,4213.065476208681,15900 +/- 11000,8460 +/- 4200,0.53,2.2275869962358008e-4,9.971103697436442e-4,2.227586996237374e-4,TRUE,0.1008950490158305,-0.028491240446995095,0.02363970588235294,FALSE,0.9159357352115255,-1,FALSE,TRUE,-1_TRUE
3,var3,xanthosine,C01762,64959,345.69565217391306,161.16981132075472,813.5242877741383,609.076562569204,346 +/- 810,161 +/- 610,0.47,0.3306169300904881,0.4089209398487616,0.33085503398351057,FALSE,0.06180146124199902,0.14156374350811676,NA,FALSE,1.0892673380970874,-1,FALSE,FALSE,-1_FALSE
30,var30,sophorose,C08250,441432,1114.7391304347825,577.9622641509434,638.7951882177249,379.34249606108193,1110 +/- 640,578 +/- 380,0.52,1.3071908137693447e-5,1.1702470142316038e-4,1.3077247472903508e-5,TRUE,0.12355546962720299,0.011031764133138344,0.08834373673259122,FALSE,0.9434164716336325,-1,FALSE,TRUE,-1_TRUE
31,var31,shikimic acid,C00493,8742,336.60869565217394,244,614.4096012455915,365.49055549199375,337 +/- 610,244 +/- 370,0.72,0.004697294152068535,0.012097141103957324,0.004702683117847828,TRUE,0.02439445476219827,-0.06301139707634418,0.04382100604074288,FALSE,0.4739311883324124,-1,FALSE,TRUE,-1_TRUE
32,var32,serine,C00065,5951,106175.21739130435,73393.94339622642,81136.63471182228,19565.41054673065,106000 +/- 81000,73400 +/- 20000,0.69,0.031243015783449367,0.0575851663459655,0.031243015783604777,TRUE,0.030592425663183424,0.026920976657838647,0.059252712527808823,FALSE,0.5353317329965558,-1,FALSE,FALSE,-1_FALSE
33,var33,sarcosine,C00213,1088,16039.91304347826,24644.584905660377,8466.529716869853,9025.530079114387,16000 +/- 8500,24600 +/- 9000,1.54,5.999367088943423e-4,0.00221153139749287,5.999367088942442e-4,TRUE,-0.071758130761915645,-0.012451212469195824,0.10667275187006693,FALSE,0.6229303509201767,1,FALSE,TRUE,1_TRUE
34,var34,saccharic acid,C00818,33037,1596.1304347826087,542.3584905660377,997.8190446417639,410.7746478554327,1600 +/- 1000,542 +/- 410,0.34,5.5356502740429474e-8,1.3876558003619448e-6,5.54257142404424e-8,TRUE,0.15267259934537758,-0.03271786196017439,0.5121667549993082,TRUE,1.5563933485243853,-1,FALSE,TRUE,-1_TRUE
35,var35,ribulose-5-phosphate,C00199,439184,199.17391304347825,336.58490566037733,273.7383708071887,402.97892834595746,199 +/- 270,337 +/- 400,1.69,0.013918201950716892,0.029073577408164176,0.013922765237396773,TRUE,-0.012277880739061593,0.03463981135182984,0.10877533888149363,FALSE,0.7570232465074596,1,FALSE,TRUE,1_TRUE
